Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_VALU_ADD_F16,SQ_INSTS_VALU_MUL_F16,SQ_INSTS_VALU_FMA_F16,SQ_INSTS_VALU_TRANS_F16,SQ_INSTS_VALU_ADD_F32,SQ_INSTS_VALU_MUL_F32,SQ_INSTS_VALU_FMA_F32,SQ_INSTS_VALU_TRANS_F32,SQ_INSTS_VALU_ADD_F64,SQ_INSTS_VALU_MUL_F64,SQ_INSTS_VALU_FMA_F64,SQ_INSTS_VALU_TRANS_F64,SQ_INSTS_VALU_MFMA_MOPS_F16,SQ_INSTS_VALU_MFMA_MOPS_BF16,SQ_INSTS_VALU_MFMA_MOPS_F32,SQ_INSTS_VALU_MFMA_MOPS_F64,TCC_EA_RDREQ_32B_sum,TCC_EA_RDREQ_sum,TCC_EA_WRREQ_sum,TCC_EA_WRREQ_64B_sum,DispatchNs,BeginNs,EndNs,CompleteNs
0,"jai_tend_x_kernel_2bdfba00_device.kd",0,0,5,51902,51902,5050,1,0,0,44,4,48,64,0x0,0x7f83019d86c0,0,0,0,0,0,0,0,0,444400,222200,883750,106050,0,0,0,0,0.0000000000,2683.0000000000,2529.0000000000,2524.0000000000,2433878048336827,2348643090319072,2433878058667676,2433878058680391
1,"jai_tend_x_calc_kernel_fa76b200_device.kd",0,0,6,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f83019d4640,0,0,0,0,0,0,0,0,20000,20000,120000,20000,0,0,0,0,0.0000000000,2542.0000000000,0.0000000000,0.0000000000,2433879269002027,2433878058667148,2433879269146057,2433879269158181
2,"jai_tend_apply_kernel_d7ff7600_device.kd",0,0,7,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82fb708700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,5112.0000000000,0.0000000000,0.0000000000,2433880537783336,2433879269146061,2433880537940348,2433880537951612
3,"jai_tend_x_kernel_ee17c700_device.kd",0,0,9,51902,51902,5050,1,0,0,44,4,48,64,0x0,0x7f82fb6dc6c0,0,0,0,0,0,0,0,0,444400,222200,883750,106050,0,0,0,0,0.0000000000,2683.0000000000,2529.0000000000,2524.0000000000,2433884388588535,2433880537940536,2433884388734029,2433884388748144
4,"jai_tend_x_calc_kernel_fa76b200_device.kd",0,0,10,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f83019d4640,0,0,0,0,0,0,0,0,20000,20000,120000,20000,0,0,0,0,0.0000000000,2544.0000000000,0.0000000000,0.0000000000,2433884392329480,2433884388734029,2433884392478190,2433884392480002
5,"jai_tend_apply_kernel_d7ff7600_device.kd",0,0,11,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82fb708700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,5114.0000000000,0.0000000000,0.0000000000,2433884397623090,2433884392478190,2433884397774511,2433884397775416
6,"jai_tend_x_kernel_ee17c700_device.kd",0,0,13,51902,51902,5050,1,0,0,44,4,48,64,0x0,0x7f82fb6dc6c0,0,0,0,0,0,0,0,0,444400,222200,883750,106050,0,0,0,0,0.0000000000,2622.0000000000,2529.0000000000,2524.0000000000,2433884424086597,2433884397774511,2433884424244119,2433884424257337
7,"jai_tend_x_calc_kernel_fa76b200_device.kd",0,0,14,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f83019d4640,0,0,0,0,0,0,0,0,20000,20000,120000,20000,0,0,0,0,0.0000000000,2538.0000000000,0.0000000000,0.0000000000,2433884428096407,2433884424244119,2433884428223641,2433884428224938
8,"jai_tend_apply_kernel_9c75d800_device.kd",0,0,15,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82da8b6700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,5113.0000000000,0.0000000000,0.0000000000,2433885527701928,2433884428223413,2433885527852212,2433885527866527
9,"jai_halo_z_kernel_fde85300_device.kd",0,0,16,51902,51902,416,1,0,0,16,0,32,64,0x0,0x7f82da89e600,0,0,0,0,0,0,0,0,0,832,2496,416,0,0,0,0,0.0000000000,102.0000000000,0.0000000000,0.0000000000,2433886683778887,2433885527852763,2433886683904495,2433886683918640
10,"jai_tend_z_kernel_5bb5bc00_device.kd",0,0,17,51902,51902,5100,1,0,0,40,0,48,64,0x0,0x7f82da884700,0,0,0,0,0,0,0,0,453900,224400,892500,107100,0,0,0,0,0.0000000000,2903.0000000000,0.0000000000,0.0000000000,2433887898926777,2433886683904029,2433887899076709,2433887899090273
11,"jai_tend_z_calc_kernel_358fed00_device.kd",0,0,18,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f82da824680,0,0,0,0,0,0,0,0,20000,20000,125000,20000,0,0,0,0,2.0000000000,3866.0000000000,0.0000000000,0.0000000000,2433889038773868,2433887899077066,2433889038930865,2433889038944959
12,"jai_tend_apply_kernel_d7ff7600_device.kd",0,0,19,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82fb708700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,3840.0000000000,0.0000000000,0.0000000000,2433889044384634,2433889038930865,2433889044554866,2433889044555996
13,"jai_halo_z_kernel_ccb89300_device.kd",0,0,20,51902,51902,416,1,0,0,16,0,32,64,0x0,0x7f82da80c600,0,0,0,0,0,0,0,0,0,832,2496,416,0,0,0,0,0.0000000000,102.0000000000,0.0000000000,0.0000000000,2433890160127169,2433889044554489,2433890160270500,2433890160284845
14,"jai_tend_z_kernel_f4c1ba00_device.kd",0,0,21,51902,51902,5100,1,0,0,40,0,48,64,0x0,0x7f81da388700,0,0,0,0,0,0,0,0,453900,224400,892500,107100,0,0,0,0,0.0000000000,2903.0000000000,0.0000000000,0.0000000000,2433891299874363,2433890160270639,2433891300028904,2433891300042348
15,"jai_tend_z_calc_kernel_3f2cf200_device.kd",0,0,22,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f82da804680,0,0,0,0,0,0,0,0,20000,20000,125000,20000,0,0,0,0,0.0000000000,3866.0000000000,0.0000000000,0.0000000000,2433892414396987,2433891300028893,2433892414548430,2433892414561005
16,"jai_tend_apply_kernel_d7ff7600_device.kd",0,0,23,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82fb708700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,4490.0000000000,0.0000000000,0.0000000000,2433892419705536,2433892414548430,2433892419862671,2433892419864134
17,"jai_halo_z_kernel_ccb89300_device.kd",0,0,24,51902,51902,416,1,0,0,16,0,32,64,0x0,0x7f82da80c600,0,0,0,0,0,0,0,0,0,832,2496,416,0,0,0,0,0.0000000000,78.0000000000,0.0000000000,0.0000000000,2433892422182026,2433892419862671,2433892422290192,2433892422290921
18,"jai_tend_z_kernel_f4c1ba00_device.kd",0,0,25,51902,51902,5100,1,0,0,40,0,48,64,0x0,0x7f81da388700,0,0,0,0,0,0,0,0,453900,224400,892500,107100,0,0,0,0,0.0000000000,2203.0000000000,0.0000000000,0.0000000000,2433892430182300,2433892422290192,2433892430330354,2433892430331190
19,"jai_tend_z_calc_kernel_3f2cf200_device.kd",0,0,26,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f82da804680,0,0,0,0,0,0,0,0,20000,20000,125000,20000,0,0,0,0,0.0000000000,9.0000000000,0.0000000000,0.0000000000,2433892434634692,2433892430330354,2433892434783476,2433892434784713
20,"jai_tend_apply_kernel_9c75d800_device.kd",0,0,27,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82da8b6700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,16.0000000000,0.0000000000,0.0000000000,2433892439817214,2433892434783476,2433892439967157,2433892439968548
21,"jai_tend_x_kernel_2bdfba00_device.kd",0,0,29,51902,51902,5050,1,0,0,44,4,48,64,0x0,0x7f83019d86c0,0,0,0,0,0,0,0,0,444400,222200,883750,106050,0,0,0,0,0.0000000000,2683.0000000000,2529.0000000000,2524.0000000000,2433892457689586,2433892439967157,2433892457842203,2433892457843135
22,"jai_tend_x_calc_kernel_fa76b200_device.kd",0,0,30,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f83019d4640,0,0,0,0,0,0,0,0,20000,20000,120000,20000,0,0,0,0,0.0000000000,2544.0000000000,0.0000000000,0.0000000000,2433892461155194,2433892457842203,2433892461280124,2433892461281000
23,"jai_tend_apply_kernel_d7ff7600_device.kd",0,0,31,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82fb708700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,2510.0000000000,0.0000000000,0.0000000000,2433892466274388,2433892461280124,2433892466421725,2433892466422536
24,"jai_tend_x_kernel_ee17c700_device.kd",0,0,33,51902,51902,5050,1,0,0,44,4,48,64,0x0,0x7f82fb6dc6c0,0,0,0,0,0,0,0,0,444400,222200,883750,106050,0,0,0,0,0.0000000000,2684.0000000000,2529.0000000000,2524.0000000000,2433892484112406,2433892466421499,2433892484265024,2433892484271705
25,"jai_tend_x_calc_kernel_fa76b200_device.kd",0,0,34,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f83019d4640,0,0,0,0,0,0,0,0,20000,20000,120000,20000,0,0,0,0,0.0000000000,2538.0000000000,0.0000000000,0.0000000000,2433892487578555,2433892484265024,2433892487734465,2433892487736873
26,"jai_tend_apply_kernel_d7ff7600_device.kd",0,0,35,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82fb708700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,5110.0000000000,0.0000000000,0.0000000000,2433892492702628,2433892487734465,2433892492849826,2433892492850806
27,"jai_tend_x_kernel_ee17c700_device.kd",0,0,37,51902,51902,5050,1,0,0,44,4,48,64,0x0,0x7f82fb6dc6c0,0,0,0,0,0,0,0,0,444400,222200,883750,106050,0,0,0,0,0.0000000000,2622.0000000000,2529.0000000000,2524.0000000000,2433892510890974,2433892492849826,2433892511043271,2433892511044723
28,"jai_tend_x_calc_kernel_fa76b200_device.kd",0,0,38,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f83019d4640,0,0,0,0,0,0,0,0,20000,20000,120000,20000,0,0,0,0,0.0000000000,2538.0000000000,0.0000000000,0.0000000000,2433892514872852,2433892511043271,2433892515022153,2433892515023505
29,"jai_tend_apply_kernel_9c75d800_device.kd",0,0,39,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82da8b6700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,5115.0000000000,0.0000000000,0.0000000000,2433892520218420,2433892515022153,2433892520377354,2433892520378671
30,"jai_halo_z_kernel_fde85300_device.kd",0,0,40,51902,51902,416,1,0,0,16,0,32,64,0x0,0x7f82da89e600,0,0,0,0,0,0,0,0,0,832,2496,416,0,0,0,0,0.0000000000,25.0000000000,0.0000000000,0.0000000000,2433892522670495,2433892520377354,2433892522776075,2433892522777476
31,"jai_tend_z_kernel_5bb5bc00_device.kd",0,0,41,51902,51902,5100,1,0,0,40,0,48,64,0x0,0x7f82da884700,0,0,0,0,0,0,0,0,453900,224400,892500,107100,0,0,0,0,0.0000000000,305.0000000000,0.0000000000,0.0000000000,2433892531087832,2433892522776075,2433892531236557,2433892531237934
32,"jai_tend_z_calc_kernel_358fed00_device.kd",0,0,42,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f82da824680,0,0,0,0,0,0,0,0,20000,20000,125000,20000,0,0,0,0,0.0000000000,64.0000000000,0.0000000000,0.0000000000,2433892535981732,2433892531236557,2433892536133839,2433892536135180
33,"jai_tend_apply_kernel_d7ff7600_device.kd",0,0,43,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82fb708700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,15.0000000000,0.0000000000,0.0000000000,2433892541329084,2433892536133839,2433892541479280,2433892541480829
34,"jai_halo_z_kernel_ccb89300_device.kd",0,0,44,51902,51902,416,1,0,0,16,0,32,64,0x0,0x7f82da80c600,0,0,0,0,0,0,0,0,0,832,2496,416,0,0,0,0,0.0000000000,24.0000000000,0.0000000000,0.0000000000,2433892543746002,2433892541479280,2433892543850801,2433892543852132
35,"jai_tend_z_kernel_f4c1ba00_device.kd",0,0,45,51902,51902,5100,1,0,0,40,0,48,64,0x0,0x7f81da388700,0,0,0,0,0,0,0,0,453900,224400,892500,107100,0,0,0,0,0.0000000000,217.0000000000,0.0000000000,0.0000000000,2433892552138914,2433892543850781,2433892552287263,2433892552293214
36,"jai_tend_z_calc_kernel_3f2cf200_device.kd",0,0,46,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f82da804680,0,0,0,0,0,0,0,0,20000,20000,125000,20000,0,0,0,0,0.0000000000,9.0000000000,0.0000000000,0.0000000000,2433892557112674,2433892552287263,2433892557260704,2433892557261924
37,"jai_tend_apply_kernel_d7ff7600_device.kd",0,0,47,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82fb708700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,11.0000000000,0.0000000000,0.0000000000,2433892566197675,2433892557260704,2433892566352067,2433892566353738
38,"jai_halo_z_kernel_ccb89300_device.kd",0,0,48,51902,51902,416,1,0,0,16,0,32,64,0x0,0x7f82da80c600,0,0,0,0,0,0,0,0,0,832,2496,416,0,0,0,0,0.0000000000,9.0000000000,0.0000000000,0.0000000000,2433892568659939,2433892566352067,2433892568763907,2433892568764956
39,"jai_tend_z_kernel_f4c1ba00_device.kd",0,0,49,51902,51902,5100,1,0,0,40,0,48,64,0x0,0x7f81da388700,0,0,0,0,0,0,0,0,453900,224400,892500,107100,0,0,0,0,0.0000000000,9.0000000000,0.0000000000,0.0000000000,2433892576585482,2433892568763907,2433892576732070,2433892576733550
40,"jai_tend_z_calc_kernel_3f2cf200_device.kd",0,0,50,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f82da804680,0,0,0,0,0,0,0,0,20000,20000,125000,20000,0,0,0,0,0.0000000000,9.0000000000,0.0000000000,0.0000000000,2433892581046179,2433892576732070,2433892581191271,2433892581192354
41,"jai_tend_apply_kernel_9c75d800_device.kd",0,0,51,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82da8b6700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,11.0000000000,0.0000000000,0.0000000000,2433892586156676,2433892581191271,2433892586303912,2433892586305445
42,"jai_tend_x_kernel_2bdfba00_device.kd",0,0,53,51902,51902,5050,1,0,0,44,4,48,64,0x0,0x7f83019d86c0,0,0,0,0,0,0,0,0,444400,222200,883750,106050,0,0,0,0,0.0000000000,2683.0000000000,2529.0000000000,2524.0000000000,2433892682668958,2433892586303756,2433892682852743,2433892682859666
43,"jai_tend_x_calc_kernel_fa76b200_device.kd",0,0,54,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f83019d4640,0,0,0,0,0,0,0,0,20000,20000,120000,20000,0,0,0,0,0.0000000000,2544.0000000000,0.0000000000,0.0000000000,2433892686233021,2433892682852743,2433892686365864,2433892686367523
44,"jai_tend_apply_kernel_d7ff7600_device.kd",0,0,55,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82fb708700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,2510.0000000000,0.0000000000,0.0000000000,2433892691369797,2433892686365864,2433892691519465,2433892691520841
45,"jai_tend_x_kernel_ee17c700_device.kd",0,0,57,51902,51902,5050,1,0,0,44,4,48,64,0x0,0x7f82fb6dc6c0,0,0,0,0,0,0,0,0,444400,222200,883750,106050,0,0,0,0,0.0000000000,2684.0000000000,2529.0000000000,2524.0000000000,2433892709198367,2433892691519465,2433892709350030,2433892709351154
46,"jai_tend_x_calc_kernel_fa76b200_device.kd",0,0,58,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f83019d4640,0,0,0,0,0,0,0,0,20000,20000,120000,20000,0,0,0,0,0.0000000000,2538.0000000000,0.0000000000,0.0000000000,2433892712671900,2433892709350030,2433892712821071,2433892712822854
47,"jai_tend_apply_kernel_d7ff7600_device.kd",0,0,59,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82fb708700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,5110.0000000000,0.0000000000,0.0000000000,2433892717788229,2433892712821071,2433892717935473,2433892717936627
48,"jai_tend_x_kernel_ee17c700_device.kd",0,0,61,51902,51902,5050,1,0,0,44,4,48,64,0x0,0x7f82fb6dc6c0,0,0,0,0,0,0,0,0,444400,222200,883750,106050,0,0,0,0,0.0000000000,2623.0000000000,2529.0000000000,2524.0000000000,2433892735597092,2433892717935473,2433892735752278,2433892735753896
49,"jai_tend_x_calc_kernel_fa76b200_device.kd",0,0,62,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f83019d4640,0,0,0,0,0,0,0,0,20000,20000,120000,20000,0,0,0,0,0.0000000000,2538.0000000000,0.0000000000,0.0000000000,2433892739046530,2433892735752278,2433892739175479,2433892739176924
50,"jai_tend_apply_kernel_9c75d800_device.kd",0,0,63,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82da8b6700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,5115.0000000000,0.0000000000,0.0000000000,2433892744209245,2433892739175479,2433892744365560,2433892744366981
51,"jai_halo_z_kernel_fde85300_device.kd",0,0,64,51902,51902,416,1,0,0,16,0,32,64,0x0,0x7f82da89e600,0,0,0,0,0,0,0,0,0,832,2496,416,0,0,0,0,0.0000000000,11.0000000000,0.0000000000,0.0000000000,2433892746668763,2433892744365759,2433892746773279,2433892746778800
52,"jai_tend_z_kernel_5bb5bc00_device.kd",0,0,65,51902,51902,5100,1,0,0,40,0,48,64,0x0,0x7f82da884700,0,0,0,0,0,0,0,0,453900,224400,892500,107100,0,0,0,0,0.0000000000,302.0000000000,0.0000000000,0.0000000000,2433892754629413,2433892746773279,2433892754777921,2433892754779384
53,"jai_tend_z_calc_kernel_358fed00_device.kd",0,0,66,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f82da824680,0,0,0,0,0,0,0,0,20000,20000,125000,20000,0,0,0,0,0.0000000000,64.0000000000,0.0000000000,0.0000000000,2433892759140374,2433892754777921,2433892759289282,2433892759290386
54,"jai_tend_apply_kernel_d7ff7600_device.kd",0,0,67,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82fb708700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,16.0000000000,0.0000000000,0.0000000000,2433892764274636,2433892759289282,2433892764424964,2433892764426241
55,"jai_halo_z_kernel_ccb89300_device.kd",0,0,68,51902,51902,416,1,0,0,16,0,32,64,0x0,0x7f82da80c600,0,0,0,0,0,0,0,0,0,832,2496,416,0,0,0,0,0.0000000000,24.0000000000,0.0000000000,0.0000000000,2433892766719397,2433892764424964,2433892766824644,2433892766825867
56,"jai_tend_z_kernel_f4c1ba00_device.kd",0,0,69,51902,51902,5100,1,0,0,40,0,48,64,0x0,0x7f81da388700,0,0,0,0,0,0,0,0,453900,224400,892500,107100,0,0,0,0,0.0000000000,217.0000000000,0.0000000000,0.0000000000,2433892778588786,2433892766824644,2433892778744328,2433892778745731
57,"jai_tend_z_calc_kernel_3f2cf200_device.kd",0,0,70,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f82da804680,0,0,0,0,0,0,0,0,20000,20000,125000,20000,0,0,0,0,0.0000000000,9.0000000000,0.0000000000,0.0000000000,2433892783058460,2433892778744328,2433892783210089,2433892783211497
58,"jai_tend_apply_kernel_d7ff7600_device.kd",0,0,71,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82fb708700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,11.0000000000,0.0000000000,0.0000000000,2433892788197901,2433892783210089,2433892788353931,2433892788355237
59,"jai_halo_z_kernel_ccb89300_device.kd",0,0,72,51902,51902,416,1,0,0,16,0,32,64,0x0,0x7f82da80c600,0,0,0,0,0,0,0,0,0,832,2496,416,0,0,0,0,0.0000000000,9.0000000000,0.0000000000,0.0000000000,2433892790624689,2433892788353931,2433892790729451,2433892790730688
60,"jai_tend_z_kernel_f4c1ba00_device.kd",0,0,73,51902,51902,5100,1,0,0,40,0,48,64,0x0,0x7f81da388700,0,0,0,0,0,0,0,0,453900,224400,892500,107100,0,0,0,0,0.0000000000,9.0000000000,0.0000000000,0.0000000000,2433892798579537,2433892790729451,2433892798727054,2433892798728337
61,"jai_tend_z_calc_kernel_3f2cf200_device.kd",0,0,74,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f82da804680,0,0,0,0,0,0,0,0,20000,20000,125000,20000,0,0,0,0,0.0000000000,9.0000000000,0.0000000000,0.0000000000,2433892803039753,2433892798727054,2433892803187375,2433892803188573
62,"jai_tend_apply_kernel_9c75d800_device.kd",0,0,75,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82da8b6700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,11.0000000000,0.0000000000,0.0000000000,2433892808147004,2433892803187375,2433892808295857,2433892808297126
63,"jai_tend_x_kernel_2bdfba00_device.kd",0,0,77,51902,51902,5050,1,0,0,44,4,48,64,0x0,0x7f83019d86c0,0,0,0,0,0,0,0,0,444400,222200,883750,106050,0,0,0,0,0.0000000000,2684.0000000000,2529.0000000000,2524.0000000000,2433892826006513,2433892808295709,2433892826161314,2433892826167595
64,"jai_tend_x_calc_kernel_fa76b200_device.kd",0,0,78,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f83019d4640,0,0,0,0,0,0,0,0,20000,20000,120000,20000,0,0,0,0,0.0000000000,2544.0000000000,0.0000000000,0.0000000000,2433892829480797,2433892826161314,2433892829604834,2433892829606102
